head.proj_dim,train.weight_decay,decision.k_prototypes,val_synth_gate,val_synth_gate_proto,val_ap_aux,val_ap,val_cat_f1,best_sel,best_epoch,secs
64,0.0001,1,0.8265532544378698,0.8187869822485206,0.8943059345303481,0.9005977744152892,0.2556104026692262,0.8265532544378698,182,15.9
64,0.0001,3,0.8265532544378698,0.8010355029585798,0.8943059345303481,0.8944770552388331,0.2640178878568971,0.8265532544378698,182,37.6
64,0.001,1,0.8187869822485206,0.7799556213017751,0.9017896675568841,0.9017896675568841,0.24926470588235294,0.8187869822485206,185,14.1
64,0.001,3,0.8187869822485206,0.7636834319526629,0.9017896675568841,0.9017896675568841,0.28588945481984535,0.8187869822485206,185,41.5
32,0.001,1,0.8180473372781065,0.8039940828402368,0.8954752132585554,0.9052060220325802,0.32463549522373053,0.8180473372781065,277,20.0
32,0.001,3,0.8180473372781065,0.7921597633136095,0.8954752132585554,0.9090357289134636,0.30326982330377916,0.8180473372781065,277,53.3
256,0.001,1,0.8165680473372782,0.771819526627219,0.8852409290909371,0.8852409290909371,0.29696382428940565,0.8165680473372782,121,11.2
256,0.001,3,0.8165680473372782,0.7629437869822484,0.8852409290909371,0.8852409290909371,0.2839697282421741,0.8165680473372782,121,34.6
128,0.0001,1,0.8143491124260355,0.7814349112426036,0.868349424437899,0.868349424437899,0.2439778541766059,0.8143491124260355,183,12.4
128,0.0001,3,0.8143491124260355,0.7710798816568046,0.868349424437899,0.868349424437899,0.28110414489724833,0.8143491124260355,183,42.5
256,0.0001,1,0.808801775147929,0.7999260355029586,0.8869334696357164,0.8869334696357164,0.23644273284838113,0.808801775147929,158,13.4
256,0.0001,3,0.808801775147929,0.7855029585798816,0.8869334696357164,0.8869334696357164,0.23296775035905473,0.808801775147929,158,39.4
32,0.0001,1,0.8032544378698225,0.7496301775147929,0.8765355647727029,0.8765355647727029,0.26576691282573633,0.8032544378698225,75,10.5
32,0.0001,3,0.8032544378698225,0.764792899408284,0.8765355647727029,0.8826766636335569,0.27250957854406127,0.8032544378698225,75,24.0
128,0.001,1,0.8017751479289941,0.7836538461538461,0.8811036119894439,0.8967116453804492,0.24967868388921022,0.8017751479289941,160,16.6
128,0.001,3,0.8017751479289941,0.7673816568047338,0.8811036119894439,0.8830584828567288,0.2574213432447728,0.8017751479289941,160,38.2
